127.0.0.1 - - [26/Aug/2020:00:21:16 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:21:16 +0700] "GET /JSP-Servlet-JDBC-Initial/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:21:16 +0700] "GET /JSP-Servlet-JDBC-Initial/trang-chu HTTP/1.1" 200 8536
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:21:16 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:21:21 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-home HTTP/1.1" 200 7994
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:21:21 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:21:21 +0700] "GET /JSP-Servlet-JDBC-Initial/template/paging/jquery.twbsPagination.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:21:21 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:21:25 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new HTTP/1.1" 500 3714
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:21:52 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new HTTP/1.1" 200 9387
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:21:52 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:30:13 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new HTTP/1.1" 200 9381
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:30:13 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:30:30 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new HTTP/1.1" 200 9374
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:30:30 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:30:30 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:30:57 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new HTTP/1.1" 200 9392
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:30:57 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:30:57 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:31:07 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new HTTP/1.1" 200 9393
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:31:07 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:31:07 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
