127.0.0.1 - - [21/Sep/2020:03:08:53 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:08:54 +0700] "GET /JSP-Servlet-JDBC-Initial/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:08:54 +0700] "GET /JSP-Servlet-JDBC-Initial/trang-chu HTTP/1.1" 200 8337
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:08:54 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:08:56 +0700] "GET /JSP-Servlet-JDBC-Initial/dang-nhap?action=login HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:09:01 +0700] "POST /JSP-Servlet-JDBC-Initial/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:09:01 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-home HTTP/1.1" 200 8042
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:09:01 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:09:01 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:09:04 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new?page=1&maxPageItem=2&sortName=title&sortBy=desc&type=list HTTP/1.1" 200 11426
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:09:04 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:09:06 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new?page=2&maxPageItem=2&sortName=title&sortBy=desc&type=list HTTP/1.1" 200 11426
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:09:06 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:09:06 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new?page=3&maxPageItem=2&sortName=title&sortBy=desc&type=list HTTP/1.1" 200 11426
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:09:06 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:09:07 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new?page=4&maxPageItem=2&sortName=title&sortBy=desc&type=list HTTP/1.1" 200 10964
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:09:07 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:09:08 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new?page=1&maxPageItem=2&sortName=title&sortBy=desc&type=list HTTP/1.1" 200 11426
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:09:08 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:09:10 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new?type=edit HTTP/1.1" 200 12169
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:09:10 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:09:18 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new?type=edit&id=54 HTTP/1.1" 200 12804
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:09:18 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
