127.0.0.1 - - [21/Oct/2020:17:33:23 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Oct/2020:17:33:24 +0700] "GET /JSP-Servlet-JDBC-Initial/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:17:33:24 +0700] "GET /JSP-Servlet-JDBC-Initial/trang-chu HTTP/1.1" 200 8337
0:0:0:0:0:0:0:1 - - [21/Oct/2020:17:33:24 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Oct/2020:17:34:06 +0700] "GET /JSP-Servlet-JDBC-Initial/dang-nhap?action=login HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [21/Oct/2020:17:34:12 +0700] "POST /JSP-Servlet-JDBC-Initial/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:17:34:12 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-home HTTP/1.1" 200 8042
0:0:0:0:0:0:0:1 - - [21/Oct/2020:17:34:12 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:17:34:12 +0700] "GET /JSP-Servlet-JDBC-Initial/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 200 7241
0:0:0:0:0:0:0:1 - - [21/Oct/2020:17:34:12 +0700] "GET /JSP-Servlet-JDBC-Initial/template/paging/jquery.twbsPagination.js HTTP/1.1" 200 12351
0:0:0:0:0:0:0:1 - - [21/Oct/2020:17:34:12 +0700] "GET /JSP-Servlet-JDBC-Initial/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [21/Oct/2020:17:34:12 +0700] "GET /JSP-Servlet-JDBC-Initial/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 200 35601
0:0:0:0:0:0:0:1 - - [21/Oct/2020:17:34:12 +0700] "GET /JSP-Servlet-JDBC-Initial/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [21/Oct/2020:17:34:12 +0700] "GET /JSP-Servlet-JDBC-Initial/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 200 8048
0:0:0:0:0:0:0:1 - - [21/Oct/2020:17:34:12 +0700] "GET /JSP-Servlet-JDBC-Initial/template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [21/Oct/2020:17:34:12 +0700] "GET /JSP-Servlet-JDBC-Initial/template/admin/assets/js/jquery.sparkline.min.js HTTP/1.1" 200 42838
